NO;KONSULAT;KELAS 6;LKBB;SERAGAM GP 3;ANGKLUNG;REBANA;TARI NUSANTARA;TARI SAMAN;PADUAN SUARA;LIVE MUSIC;BHUNNEKA TUNGGAL IKA;PASKIBRA;PLETON;DJASMINE;TOTAL
;;;;;;;;;;;;;;;
1;BANTEN;13;24;0;2;2;1;4;1;0;0;2;0;0;49
2;BANYUMAS;21;22;4;2;3;1;4;2;0;0;2;1;0;62
3;BANUSTRA;13;6;0;1;0;2;2;1;0;1;3;0;1;30
4;BEKASI;23;33;0;9;3;15;10;3;0;0;6;0;1;103
5;BESUKI;13;9;0;2;0;1;3;1;0;0;4;1;0;34
6;BOGOR;26;22;1;4;1;8;5;1;0;0;7;1;1;77
7;BOJONEGORO;8;10;0;3;0;3;4;1;0;0;3;0;2;34
8;CIREBON;6;8;2;1;0;0;3;0;0;0;3;0;0;23
9;GRESIK;6;10;1;0;0;0;1;0;0;0;1;1;0;20
10;JAKARTA;22;37;1;7;2;9;15;0;0;2;9;1;1;106
11;JOMBANG;13;5;0;2;0;1;1;0;0;0;1;0;0;23
12;KEDIRI;28;12;1;4;0;2;2;1;0;0;1;0;1;52
13;MADIUN;14;20;0;4;1;4;3;2;0;1;6;1;0;56
14;MAGELANG;10;13;1;1;1;1;2;2;0;0;4;1;2;38
15;MALANG;17;11;0;7;2;2;2;2;0;0;3;0;0;46
16;NGAWI;4;15;0;0;1;2;1;4;0;0;1;0;1;29
17;PALEMBANG;4;25;1;4;3;6;6;1;0;0;2;0;0;52
18;PARAHYANGAN;17;22;0;2;2;4;4;1;0;0;4;0;0;56
19;PONTIANAK;13;10;0;4;2;3;3;0;0;0;5;0;1;41
20;PEKALONGAN;18;12;1;2;0;2;1;2;0;1;2;0;2;43
21;PURWAKARTA;14;3;0;1;0;4;6;1;0;0;2;0;1;32
22;RIAU;12;7;0;2;1;2;2;0;0;0;2;0;0;28
23;SAMARINDA;12;10;1;2;1;3;2;0;0;1;1;0;1;34
24;SEMARANG;27;28;0;13;3;5;10;1;0;2;5;1;1;96
25;SUKABUMI;8;10;0;3;0;1;4;0;0;0;2;0;0;28
26;SURABAYA;46;30;1;7;5;8;1;2;0;0;3;0;0;103
27;SUMALIA;16;10;0;1;2;2;3;1;0;0;0;1;3;39
28;SURAKARTA;19;22;0;6;0;6;4;1;0;1;4;0;1;64
29;TANGERANG;11;19;1;1;1;8;8;1;0;1;5;0;0;56
30;YOGYAKARTA;10;24;1;2;2;2;4;0;0;1;7;0;0;53
TOTAL;;464;489;17;99;38;108;120;32;0;11;100;9;20;1507
