NO;SECTION;TOTAL
1;Grand Annual Chief;3
2;Secretary;4
3;Financy;4
4;Data;4
5;Documantation;5
6;Annual Protocol;16
7;Creative Team;11
8;Field Equipment;41
9;Auditorium Equipment;42
10;Decoration;28
11;Buffet Consumption;22
12;General Consumption;21
13;Snack;21
14;Reception & Coffe Break;23
15;Mc;4
16;CID;16
17;Conductor & Jinggle;4
18;Health;7
19;Qira'atu-l-Qur'an;3
20;Flag Ceremony;11
21;Agility Chief;4
22;Rebana Trainer;12
23;Rebana Costume;6
24;Saman Trainer;9
25;Saman Costume;6
26;Combination Dance Trainer;9
27;Combination Dance Costume;9
28;Angklung & Choir;15
29;Live Music;4
30;Parade;34
31;Building Miniature;21
32;Vihicle Parade;25
33;Final Grade Icon;23
TOTAL;;467
;;
