NO;ROOM;SECTION;TOTAL;
1;Perumahan Guru;Madamat;17;Teachers
2;Perumahan Dosen;Asatidz;4;Teachers
3;Indonesia 202;Student Advisory Council;12;Teachers
4;Santiniketan 04;ITTC Staff;12;Teachers
5;Indonesia 203;Administration Staff;9;Teachers
6;Indonesia 106;Secretary Advisory Council;11;Teachers
7;Baghdad 01;Supervisor of Coordinator;11;Teachers
8;Syiria Lt.1;Construction Staff;12;Teachers
;;Fotocopy and Stationary Staff;6;Teachers
9;Syiria Lt.2;Publication Staff;6;Teachers
10;Asy-Syifa ;Zaada Helwa Dressmaker;11;Teachers
;;Clinic Staff;8;Teachers
;;Khizanah Bakery and Beverage;9;Teachers
11;Lahore 10;Language Advisory Council;8;Teachers
12;Hijaz 01;CID Supervisor;10;Teachers
;;JMQ & JMH Supervisor;7;Teachers
13;KOPDA Guru;Teacher Kitchen Staff;9;Teachers
14;2K;Cafetaria and Cooperation Supervisor;6;Teachers
;;Public Service Staff;6;Teachers
15;DLP;La Tansa Resto Staff;10;Teachers
16;Thoif 01;Thoif Telephone Exchange Staff;6;Teachers
17;Teheran 01;Teheran Telephone Exchange Staff;6;Teachers
18;Cordova 02;Feminity Staff;8;Teachers
19;Cordova 10;Cordova Telephone Exchange Staff;6;Teachers
20;Ghaza 03;Dema Staff;15;Teachers
21;Ghaza 01;Transportation Staff;8;Teachers
22;Alighart 110;Cleaning and Gardening Supervisor;6;Teachers
;;Bicycle Staff;7;Teachers
23;Alighart 201;Art and Sport Supervisor;9;Teachers
24;Andalusia 01;Public Speaking, Discussion and Afternoon Lesson Advisory Council;10;Teachers
25;Indoneisa 206;Data Staff;7;Teachers
26;Indoneisa 207;Darussalam Recording Studio;9;Teachers
27;Santiniketan 07;Darussalam Computer Centre Staff;7;Teachers
28;Thoif 10;Grocery Staff;9;Teachers
29;Bapenta;Guest Reception Staff;9;Teachers
30;Syanggit 10;Provision Staff;6;Teachers
31;Al-Azhar 210;Library Staff;7;Teachers
32;Markaz Khot;Markaz Khot;3;Teachers
TOTAL;;;322;Teachers
